,LINK,company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector,count_comp_cat
177,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/astramicrowaveproducts/AMP01,AMP01,telecommunicationsequipment,astramicrowaveproducts,59.44,50.0,0.99,7.01,2.0,29.78,871.75,1,9.94,14.36,1.69,TELECOMMUNICATIONS - EQUIPMENT,4
168,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/smlisuzu/SM,SM,autolcvshcvs,smlisuzu,284.01,0.0,,5.87,10.0,37.26,1143.69,1,30.99,134.63,2.78,AUTO - LCVS & HCVS,4
409,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/ptcindiafinancialservices/PIF02,PIF02,financetermlendinginstitutions,ptcindiafinancialservices,38.05,15.0,8.04,0.38,10.0,36.62,1197.86,1,42.39,49.08,0.49,FINANCE - TERM LENDING INSTITUTIONS,4
328,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/mcleodrusselindia/MRI02,MRI02,plantationsteacoffee,mcleodrusselindia,165.42,5.0,0.17,6.14,5.0,32.14,1589.3,1,10.6,23.65,0.88,PLANTATIONS - TEA & COFFEE,4
329,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/tatacoffee/TC14,TC14,plantationsteacoffee,tatacoffee,49.27,150.0,1.23,3.36,1.0,32.14,2279.53,1,26.77,36.32,2.48,PLANTATIONS - TEA & COFFEE,4
334,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/somanyceramics/SC49,SC49,ceramicsgranite,somanyceramics,134.72,135.0,0.49,15.36,2.0,25.51,2328.75,1,25.28,35.77,4.08,CERAMICS & GRANITE,4
117,http://www.moneycontrol.com/india/stockpricequote/trading/ptcindia/PTC02,PTC02,trading,ptcindia,114.66,30.0,3.62,10.78,10.0,11.73,2455.39,1,7.62,7.69,0.72,TRADING,4
332,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/hsil/HSI02,HSI02,ceramicsgranite,hsil,210.91,200.0,1.17,10.34,2.0,25.51,2478.68,1,13.13,33.16,1.63,CERAMICS & GRANITE,4
150,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/jindalsaw/JS08,JS08,steeltubespipes,jindalsaw,186.07,50.0,1.04,12.07,2.0,19.46,3061.65,1,4.77,7.93,0.51,STEEL - TUBES & PIPES,4
171,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/gayatriprojects/GP10,GP10,constructioncontractingcivil,gayatriprojects,49.74,0.0,,10.05,2.0,30.6,3280.66,1,13.51,17.44,3.52,CONSTRUCTION & CONTRACTING - CIVIL,8
146,http://www.moneycontrol.com/india/stockpricequote/electricequipment/technoelectricengineeringcompany/TEE,TEE,electricequipment,technoelectricengineeringcompany,87.31,0.0,,11.74,2.0,23.24,3296.52,1,24.42,24.92,3.35,ELECTRIC EQUIPMENT,5
152,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/welspuncorp/WGS,WGS,steeltubespipes,welspuncorp,72.97,10.0,0.37,4.74,5.0,19.46,3565.97,1,9.81,28.36,1.84,STEEL - TUBES & PIPES,4
167,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/forcemotors/FM01,FM01,autolcvshcvs,forcemotors,1375.47,100.0,0.37,111.53,10.0,37.26,3599.1,1,13.03,24.49,1.99,AUTO - LCVS & HCVS,4
147,http://www.moneycontrol.com/india/stockpricequote/electricequipment/triveniturbine/TT14,TT14,electricequipment,triveniturbine,14.97,120.0,1.06,2.98,1.0,32.05,3723.74,1,31.7,37.87,7.54,ELECTRIC EQUIPMENT,5
245,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/rallisindia/RI03,RI03,pesticidesagrochemicals,rallisindia,60.62,250.0,1.23,7.28,1.0,39.1,3956.47,1,21.74,27.95,3.36,PESTICIDES & AGRO CHEMICALS,6
118,http://www.moneycontrol.com/india/stockpricequote/trading/swanenergy/SM09,SM09,trading,swanenergy,21.05,7.5,0.05,2.98,1.0,21.7,4049.78,1,51.81,55.64,7.88,TRADING,4
179,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/himachalfuturisticcommunication/HFC,HFC,telecommunicationsequipment,himachalfuturisticcommunication,9.67,0.0,,1.25,1.0,37.77,4120.93,1,24.09,26.6,3.44,TELECOMMUNICATIONS - EQUIPMENT,4
380,http://www.moneycontrol.com/india/stockpricequote/hotels/mahindraholidaysresortsindia/MHR,MHR,hotels,mahindraholidaysresortsindia,50.58,50.0,1.56,10.06,10.0,69.32,4291.16,1,22.69,31.95,6.36,HOTELS,4
169,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ashokabuildcon/AB,AB,constructioncontractingcivil,ashokabuildcon,112.28,32.0,0.68,13.47,5.0,30.6,4420.45,1,14.48,17.54,2.1,CONSTRUCTION & CONTRACTING - CIVIL,8
339,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratstatefertilizerschemicals/GSF,GSF,fertilisers,gujaratstatefertilizerschemicals,176.95,110.0,1.93,11.94,2.0,14.8,4542.64,1,7.64,9.55,0.64,FERTILISERS,6
182,http://www.moneycontrol.com/india/stockpricequote/plastics/jainirrigationsystems/JIS02,JIS02,plastics,jainirrigationsystems,92.69,37.5,0.77,5.66,2.0,17.69,4854.46,1,10.29,17.28,1.06,PLASTICS,5
343,http://www.moneycontrol.com/india/stockpricequote/miningminerals/moil/M18,M18,miningminerals,moil,105.32,110.0,5.96,15.84,10.0,15.1,4915.96,1,10.15,11.65,1.75,MINING & MINERALS,5
243,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/monsantoindia/MI39,MI39,pesticidesagrochemicals,monsantoindia,402.13,300.0,1.05,95.33,10.0,39.1,4945.78,1,27.85,30.05,7.12,PESTICIDES & AGRO CHEMICALS,6
371,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/eclerxservices/eS06,eS06,computerssoftwaremediumsmall,eclerxservices,356.28,10.0,0.08,72.0,10.0,23.52,5023.13,1,16.32,18.06,3.65,COMPUTERS - SOFTWARE MEDIUM & SMALL,7
158,http://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07,C07,tyres,ceat,639.03,115.0,0.86,69.09,10.0,27.04,5404.33,1,12.25,19.34,2.09,TYRES,6
