,LINK,MARKETCAP_RS_CR,P_BY_E,BOOK_VALUE_RS,DIV_PERCENT,MARKET_LOT,INDUSTRY_P_BY_E,EPS_TTM,P_BY_C,PRICE_BY_BOOK,DIV_YIELD_PERCENT,FACE_VALUE,sector,company_code,company_name,count_comp_cat,rk
2,http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI,9896.24,26.63,255.47,55.0,1,21.24,33.27,14.44,3.47,0.62,10.0,diversified,CTI,centurytextilesindustries,7,4.0
6,http://www.moneycontrol.com/india/stockpricequote/diversified/voltas/V,17172.92,34.26,105.36,350.0,1,21.24,15.15,32.99,4.93,0.67,1.0,diversified,V,voltas,7,3.0
9,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02,129062.18,17.53,186.49,600.0,1,22.18,52.87,15.63,4.97,1.29,2.0,computerssoftware,HCL02,hcltechnologies,19,3.0
24,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/wipro/W,126754.3,16.41,86.96,50.0,1,22.18,15.87,14.51,2.99,0.38,2.0,computerssoftware,W,wipro,19,4.0
35,http://www.moneycontrol.com/india/stockpricequote/chemicals/solarindustriesindia/SII04,10255.24,76.37,87.62,250.0,1,70.52,14.84,63.96,12.93,0.44,2.0,chemicals,SII04,solarindustriesindia,13,4.0
36,http://www.moneycontrol.com/india/stockpricequote/chemicals/tatachemicals/TC,17705.56,10.02,416.96,110.0,1,9.24,69.36,9.35,1.67,1.58,10.0,chemicals,TC,tatachemicals,13,3.0
44,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilindia/OI13,23793.26,8.92,255.93,95.0,1,11.19,23.51,6.04,0.82,4.53,10.0,oildrillingandexploration,OI13,oilindia,8,4.0
46,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/petronetlng/PLN,32872.5,15.82,53.88,25.0,1,15.43,13.85,13.2,4.07,1.14,10.0,oildrillingandexploration,PLN,petronetlng,8,3.0
50,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE,26342.3,32.61,87.96,79.0,1,21.24,2.2,16.53,0.82,2.2,2.0,infrastructuregeneral,BHE,bharatheavyelectricals,16,4.0
58,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/siemens/S,34862.39,29.13,216.35,350.0,1,36.9,33.61,25.02,4.52,0.72,2.0,infrastructuregeneral,S,siemens,16,3.0
