,DETAIL,magnitude,parameter
0,MI42,"22,192.19",MARKET CAP (Rs Cr)
1,MI42,71.46,P/E
2,MI42,1364.33,BOOK VALUE (Rs)
3,MI42,0.00%,DIV (%)
4,MI42,1,Market Lot
5,MI42,22.07,INDUSTRY P/E
6,MI42,275.66,EPS (TTM)
7,MI42,62.99,P/C
8,MI42,14.44,PRICE/BOOK
9,MI42,-%,DIV YIELD.(%)
10,MI42,10.00,FACE VALUE (Rs)
11,PMS01,"1,631.62",MARKET CAP (Rs Cr)
12,PMS01,334.16,P/E
13,PMS01,28.49,BOOK VALUE (Rs)
14,PMS01,0.00%,DIV (%)
15,PMS01,1,Market Lot
16,PMS01,21.82,INDUSTRY P/E
17,PMS01,1.60,EPS (TTM)
18,PMS01,285.91,P/C
19,PMS01,18.77,PRICE/BOOK
20,PMS01,-%,DIV YIELD.(%)
21,PMS01,5.00,FACE VALUE (Rs)
22,AI45,"10,526.72",MARKET CAP (Rs Cr)
23,AI45,33.27,P/E
24,AI45,200.01,BOOK VALUE (Rs)
25,AI45,20.00%,DIV (%)
26,AI45,1,Market Lot
27,AI45,24.63,INDUSTRY P/E
28,AI45,38.92,EPS (TTM)
29,AI45,23.28,P/C
30,AI45,6.47,PRICE/BOOK
31,AI45,0.08%,DIV YIELD.(%)
32,AI45,5.00,FACE VALUE (Rs)
33,AO04,747.95,MARKET CAP (Rs Cr)
34,AO04,87.18,P/E
35,AO04,701.88,BOOK VALUE (Rs)
36,AO04,0.00%,DIV (%)
37,AO04,1,Market Lot
38,AO04,11.73,INDUSTRY P/E
39,AO04,1.47,EPS (TTM)
40,AO04,4.41,P/C
41,AO04,0.18,PRICE/BOOK
42,AO04,-%,DIV YIELD.(%)
43,AO04,2.00,FACE VALUE (Rs)
44,ABB,"25,813.62",MARKET CAP (Rs Cr)
45,ABB,59.68,P/E
46,ABB,170.21,BOOK VALUE (Rs)
47,ABB,200.00%,DIV (%)
48,ABB,1,Market Lot
49,ABB,47.97,INDUSTRY P/E
50,ABB,20.41,EPS (TTM)
51,ABB,43.72,P/C
