,BOOK VALUE (Rs),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,company_code
0,1364.33,0.00%,-%,275.66,10.00,22.07,"22,192.19",1,62.99,71.46,14.44,MI42
0,28.49,0.00%,-%,1.60,5.00,21.82,"1,631.62",1,285.91,334.16,18.77,PMS01
0,200.01,20.00%,0.08%,38.92,5.00,24.63,"10,526.72",1,23.28,33.27,6.47,AI45
0,701.88,0.00%,-%,1.47,2.00,11.73,747.95,1,4.41,87.18,0.18,AO04
0,170.21,200.00%,0.33%,20.41,2.00,47.97,"25,813.62",1,43.72,59.68,7.16,ABB
0,841.52,400.00%,0.61%,188.83,10.00,29.05,"13,888.76",1,33.27,34.61,7.77,AI51
0,498.72,260.00%,1.99%,50.54,10.00,36.29,"24,476.19",1,15.40,25.79,2.61,ACC06
0,36.04,40.00%,0.30%,1.79,1.00,49.47,"14,528.49",1,51.00,73.80,3.67,AE13
0,93.06,65.00%,0.35%,12.07,2.00,39.36,"77,215.44",1,26.00,30.89,4.01,MPS
0,12.06,0.00%,-%,-,10.00,11.73,"7,116.05",1,8.50,-,1.53,AP11
0,19.06,0.00%,-%,-,10.00,14.41,"16,370.67",1,-,-,7.81,AT22
0,12.43,0.00%,-%,1.53,10.00,71.87,"10,923.73",1,27.38,92.52,11.39,PFR
0,26.06,20.00%,0.18%,3.21,2.00,24.93,"2,517.12",1,57.66,70.23,8.65,AET
0,16.74,105.00%,0.42%,3.02,1.00,44.24,"8,415.13",1,70.77,83.43,15.05,AL9
0,306.61,400.00%,0.51%,49.82,2.00,28.21,"14,690.40",1,27.49,31.26,5.08,AIE01
0,219.44,0.00%,-%,48.57,2.00,29.05,"9,720.87",1,20.06,22.74,5.03,AP22
0,301.80,220.00%,1.16%,85.84,10.00,57.09,"8,821.83",1,19.23,22.03,6.26,ICI
0,121.44,200.00%,0.77%,22.39,2.00,29.05,"9,765.12",1,18.65,23.14,4.27,AP35
0,427.26,300.00%,0.31%,59.87,2.00,29.05,"23,377.95",1,28.39,32.66,4.58,AL05
0,75.11,0.00%,-%,-,10.00,12.43,"4,683.21",1,-,-,0.59,AB15
0,55.81,100.00%,1.78%,1.17,2.00,44.24,"2,759.16",1,21.15,95.98,2.01,AGL02
0,179.40,425.00%,0.55%,27.59,1.00,30.46,"13,151.71",1,18.74,27.91,4.29,ARB
0,102.35,140.00%,1.37%,6.42,2.00,36.29,"40,685.87",1,22.01,31.92,2.00,AC18
0,90.24,0.00%,-%,-,10.00,12.43,"4,237.87",1,-,-,0.39,AB14
0,285.38,100.00%,1.39%,37.65,10.00,16.93,"2,748.64",1,14.19,19.08,2.52,AI40
0,213.34,120.00%,0.67%,44.32,10.00,19.46,"4,268.99",1,28.62,40.59,8.43,BT09
0,274.01,120.00%,0.58%,16.76,5.00,48.56,"14,327.80",1,28.36,61.45,3.76,AHE
0,104.18,300.00%,1.11%,10.88,1.00,27.04,"15,405.31",1,15.61,24.75,2.58,AT14
0,135.03,24.00%,0.58%,9.43,10.00,36.23,"10,717.09",1,23.68,43.94,3.07,A18
0,28.21,100.00%,0.29%,7.62,1.00,41.97,"8,333.12",1,30.07,44.99,12.15,AIG01
0,26.23,156.00%,1.10%,5.32,1.00,37.26,"41,737.51",1,19.72,26.73,5.42,AL
0,112.28,32.00%,0.68%,13.47,5.00,30.60,"4,420.45",1,14.48,17.54,2.10,AB
0,81.30,870.00%,0.68%,19.76,1.00,57.09,"122,878.03",1,55.70,64.83,15.76,AP31
0,59.44,50.00%,0.99%,7.01,2.00,29.78,871.75,1,9.94,14.36,1.69,AMP01
0,69.71,50.00%,0.05%,9.94,1.00,85.68,"12,175.15",1,73.49,102.25,14.58,APT02
0,82.55,0.00%,-%,10.42,2.00,29.05,"3,268.00",1,80.10,125.45,15.84,AZP
0,738.73,100.00%,0.37%,91.16,10.00,22.45,"8,040.70",1,21.43,29.74,3.67,A06
0,174.92,250.00%,0.41%,30.94,1.00,29.05,"35,942.50",1,16.58,19.83,3.51,AP
0,217.40,450.00%,0.49%,91.37,2.00,19.94,"8,362.53",1,19.46,20.15,8.47,AF21
0,74.06,0.00%,-%,12.57,10.00,151.28,"95,990.43",1,102.20,122.36,20.77,AS19
0,217.29,0.00%,-%,1.07,2.00,32.64,"135,585.38",1,160.49,493.46,2.43,AB16
0,729.25,550.00%,1.91%,140.59,10.00,22.15,"83,156.85",1,18.97,20.44,3.94,BA10
0,48.68,1150.00%,2.70%,14.66,1.00,66.23,"6,274.65",1,28.12,29.02,8.74,BC02
0,93.62,140.00%,0.52%,8.20,2.00,48.93,"5,482.47",1,46.64,65.52,5.74,BE
0,212.01,180.00%,0.16%,45.79,2.00,36.62,"131,961.74",1,48.01,49.86,10.77,BAF
0,182.70,35.00%,0.03%,8.88,5.00,36.62,"95,218.49",1,667.06,673.82,32.75,BF04
0,31.08,0.00%,-%,-,1.00,10.33,861.51,1,-,-,0.24,BH06
0,777.20,325.00%,1.09%,118.03,10.00,36.62,"33,311.26",1,25.26,25.36,3.85,BHI
0,183.56,400.00%,0.73%,38.24,2.00,27.04,"21,321.92",1,20.30,28.84,6.01,BI03
0,118.49,70.00%,3.16%,16.21,10.00,22.07,"2,523.45",1,11.94,13.66,1.87,BLC
0,77.12,350.00%,4.75%,9.68,1.00,10.33,"1,684.66",1,5.32,7.62,0.96,BCM
0,143.41,60.00%,0.91%,-,2.00,12.43,"34,801.76",1,-,-,0.92,BOB
0,145.78,0.00%,-%,-,10.00,12.43,"17,142.19",1,-,-,0.67,BOI
