,LINK,company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector
0,http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,MI42,diversified,3mindia,1364.33,0.0,,275.66,10.0,22.07,22192.19,1,62.99,71.46,14.44,DIVERSIFIED
1,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/8kmilessoftwareservices/PMS01,PMS01,computerssoftware,8kmilessoftwareservices,28.49,0.0,,1.6,5.0,21.82,1631.62,1,285.91,334.16,18.77,COMPUTERS - SOFTWARE
2,http://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45,AI45,chemicals,aartiindustries,200.01,20.0,0.08,38.92,5.0,24.63,10526.72,1,23.28,33.27,6.47,CHEMICALS
3,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04,AO04,oildrillingandexploration,abanoffshore,701.88,0.0,,1.47,2.0,11.73,747.95,1,4.41,87.18,0.18,OIL DRILLING AND EXPLORATION
4,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB,ABB,infrastructuregeneral,abbindia,170.21,200.0,0.33,20.41,2.0,47.97,25813.62,1,43.72,59.68,7.16,INFRASTRUCTURE - GENERAL
5,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51,AI51,pharmaceuticals,abbottindia,841.52,400.0,0.61,188.83,10.0,29.05,13888.76,1,33.27,34.61,7.77,PHARMACEUTICALS
6,http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,ACC06,cementmajor,acc,498.72,260.0,1.99,50.54,10.0,36.29,24476.19,1,15.4,25.79,2.61,CEMENT - MAJOR
7,http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,AE13,trading,adanienterprises,36.04,40.0,0.3,1.79,1.0,49.47,14528.49,1,51.0,73.8,3.67,TRADING
8,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS,MPS,infrastructuregeneral,adaniportsspecialeconomiczone,93.06,65.0,0.35,12.07,2.0,39.36,77215.44,1,26.0,30.89,4.01,INFRASTRUCTURE - GENERAL
11,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,PFR,retail,adityabirlafashionretail,12.43,0.0,,1.53,10.0,71.87,10923.73,1,27.38,92.52,11.39,RETAIL
12,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET,AET,pharmaceuticals,advancedenzymetechnologies,26.06,20.0,0.18,3.21,2.0,24.93,2517.12,1,57.66,70.23,8.65,PHARMACEUTICALS
13,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9,AL9,transportlogistics,aegislogistics,16.74,105.0,0.42,3.02,1.0,44.24,8415.13,1,70.77,83.43,15.05,TRANSPORT & LOGISTICS
14,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01,AIE01,castingsforgings,aiaengineering,306.61,400.0,0.51,49.82,2.0,28.21,14690.4,1,27.49,31.26,5.08,CASTINGS & FORGINGS
15,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22,AP22,pharmaceuticals,ajantapharma,219.44,0.0,,48.57,2.0,29.05,9720.87,1,20.06,22.74,5.03,PHARMACEUTICALS
16,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI,ICI,paintsvarnishes,akzonobelindia,301.8,220.0,1.16,85.84,10.0,57.09,8821.83,1,19.23,22.03,6.26,PAINTS & VARNISHES
17,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35,AP35,pharmaceuticals,alembicpharmaceuticals,121.44,200.0,0.77,22.39,2.0,29.05,9765.12,1,18.65,23.14,4.27,PHARMACEUTICALS
18,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,AL05,pharmaceuticals,alkemlaboratories,427.26,300.0,0.31,59.87,2.0,29.05,23377.95,1,28.39,32.66,4.58,PHARMACEUTICALS
20,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02,AGL02,transportlogistics,allcargologistics,55.81,100.0,1.78,1.17,2.0,44.24,2759.16,1,21.15,95.98,2.01,TRANSPORT & LOGISTICS
21,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajabatteries/ARB,ARB,autoancillaries,amararajabatteries,179.4,425.0,0.55,27.59,1.0,30.46,13151.71,1,18.74,27.91,4.29,AUTO ANCILLARIES
22,http://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18,AC18,cementmajor,ambujacements,102.35,140.0,1.37,6.42,2.0,36.29,40685.87,1,22.01,31.92,2.0,CEMENT - MAJOR
24,http://www.moneycontrol.com/india/stockpricequote/electricequipment/aparindustries/AI40,AI40,electricequipment,aparindustries,285.38,100.0,1.39,37.65,10.0,16.93,2748.64,1,14.19,19.08,2.52,ELECTRIC EQUIPMENT
25,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/aplapollotubes/BT09,BT09,steeltubespipes,aplapollotubes,213.34,120.0,0.67,44.32,10.0,19.46,4268.99,1,28.62,40.59,8.43,STEEL - TUBES & PIPES
26,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE,AHE,hospitalsmedicalservices,apollohospitalsenterprises,274.01,120.0,0.58,16.76,5.0,48.56,14327.8,1,28.36,61.45,3.76,HOSPITALS & MEDICAL SERVICES
27,http://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14,AT14,tyres,apollotyres,104.18,300.0,1.11,10.88,1.0,27.04,15405.31,1,15.61,24.75,2.58,TYRES
28,http://www.moneycontrol.com/india/stockpricequote/textilesdenim/arvind/A18,A18,textilesdenim,arvind,135.03,24.0,0.58,9.43,10.0,36.23,10717.09,1,23.68,43.94,3.07,TEXTILES - DENIM
29,http://www.moneycontrol.com/india/stockpricequote/glassglassproducts/asahiindiaglass/AIG01,AIG01,glassglassproducts,asahiindiaglass,28.21,100.0,0.29,7.62,1.0,41.97,8333.12,1,30.07,44.99,12.15,GLASS & GLASS PRODUCTS
30,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/ashokleyland/AL,AL,autolcvshcvs,ashokleyland,26.23,156.0,1.1,5.32,1.0,37.26,41737.51,1,19.72,26.73,5.42,AUTO - LCVS & HCVS
31,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ashokabuildcon/AB,AB,constructioncontractingcivil,ashokabuildcon,112.28,32.0,0.68,13.47,5.0,30.6,4420.45,1,14.48,17.54,2.1,CONSTRUCTION & CONTRACTING - CIVIL
32,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31,AP31,paintsvarnishes,asianpaints,81.3,870.0,0.68,19.76,1.0,57.09,122878.03,1,55.7,64.83,15.76,PAINTS & VARNISHES
33,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/astramicrowaveproducts/AMP01,AMP01,telecommunicationsequipment,astramicrowaveproducts,59.44,50.0,0.99,7.01,2.0,29.78,871.75,1,9.94,14.36,1.69,TELECOMMUNICATIONS - EQUIPMENT
34,http://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02,APT02,plastics,astralpolytechnik,69.71,50.0,0.05,9.94,1.0,85.68,12175.15,1,73.49,102.25,14.58,PLASTICS
35,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP,AZP,pharmaceuticals,astrazenecapharma,82.55,0.0,,10.42,2.0,29.05,3268.0,1,80.1,125.45,15.84,PHARMACEUTICALS
36,http://www.moneycontrol.com/india/stockpricequote/dyespigments/atul/A06,A06,dyespigments,atul,738.73,100.0,0.37,91.16,10.0,22.45,8040.7,1,21.43,29.74,3.67,DYES & PIGMENTS
37,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP,AP,pharmaceuticals,aurobindopharma,174.92,250.0,0.41,30.94,1.0,29.05,35942.5,1,16.58,19.83,3.51,PHARMACEUTICALS
38,http://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21,AF21,aquaculture,avantifeeds,217.4,450.0,0.49,91.37,2.0,19.94,8362.53,1,19.46,20.15,8.47,AQUACULTURE
