,LINK,company_code,company_category,company_name,BOOK VALUE (Rs),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,sector
0,http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,MI42,diversified,3mindia,1364.33,0.00%,-%,275.66,10.00,22.07,"22,192.19",1,62.99,71.46,14.44,DIVERSIFIED
1,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/8kmilessoftwareservices/PMS01,PMS01,computerssoftware,8kmilessoftwareservices,28.49,0.00%,-%,1.60,5.00,21.82,"1,631.62",1,285.91,334.16,18.77,COMPUTERS - SOFTWARE
2,http://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45,AI45,chemicals,aartiindustries,200.01,20.00%,0.08%,38.92,5.00,24.63,"10,526.72",1,23.28,33.27,6.47,CHEMICALS
3,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04,AO04,oildrillingandexploration,abanoffshore,701.88,0.00%,-%,1.47,2.00,11.73,747.95,1,4.41,87.18,0.18,OIL DRILLING AND EXPLORATION
4,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB,ABB,infrastructuregeneral,abbindia,170.21,200.00%,0.33%,20.41,2.00,47.97,"25,813.62",1,43.72,59.68,7.16,INFRASTRUCTURE - GENERAL
5,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51,AI51,pharmaceuticals,abbottindia,841.52,400.00%,0.61%,188.83,10.00,29.05,"13,888.76",1,33.27,34.61,7.77,PHARMACEUTICALS
6,http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,ACC06,cementmajor,acc,498.72,260.00%,1.99%,50.54,10.00,36.29,"24,476.19",1,15.40,25.79,2.61,CEMENT - MAJOR
7,http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,AE13,trading,adanienterprises,36.04,40.00%,0.30%,1.79,1.00,49.47,"14,528.49",1,51.00,73.80,3.67,TRADING
8,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS,MPS,infrastructuregeneral,adaniportsspecialeconomiczone,93.06,65.00%,0.35%,12.07,2.00,39.36,"77,215.44",1,26.00,30.89,4.01,INFRASTRUCTURE - GENERAL
9,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11,AP11,powergenerationdistribution,adanipower,12.06,0.00%,-%,-,10.00,11.73,"7,116.05",1,8.50,-,1.53,POWER - GENERATION & DISTRIBUTION
10,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanitransmission/AT22,AT22,powertransmissionequipment,adanitransmission,19.06,0.00%,-%,-,10.00,14.41,"16,370.67",1,-,-,7.81,POWER - TRANSMISSION & EQUIPMENT
11,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,PFR,retail,adityabirlafashionretail,12.43,0.00%,-%,1.53,10.00,71.87,"10,923.73",1,27.38,92.52,11.39,RETAIL
12,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET,AET,pharmaceuticals,advancedenzymetechnologies,26.06,20.00%,0.18%,3.21,2.00,24.93,"2,517.12",1,57.66,70.23,8.65,PHARMACEUTICALS
13,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9,AL9,transportlogistics,aegislogistics,16.74,105.00%,0.42%,3.02,1.00,44.24,"8,415.13",1,70.77,83.43,15.05,TRANSPORT & LOGISTICS
14,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01,AIE01,castingsforgings,aiaengineering,306.61,400.00%,0.51%,49.82,2.00,28.21,"14,690.40",1,27.49,31.26,5.08,CASTINGS & FORGINGS
15,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22,AP22,pharmaceuticals,ajantapharma,219.44,0.00%,-%,48.57,2.00,29.05,"9,720.87",1,20.06,22.74,5.03,PHARMACEUTICALS
16,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI,ICI,paintsvarnishes,akzonobelindia,301.80,220.00%,1.16%,85.84,10.00,57.09,"8,821.83",1,19.23,22.03,6.26,PAINTS & VARNISHES
17,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35,AP35,pharmaceuticals,alembicpharmaceuticals,121.44,200.00%,0.77%,22.39,2.00,29.05,"9,765.12",1,18.65,23.14,4.27,PHARMACEUTICALS
