,LINK,company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector,count_comp_cat
63,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/housingdevelopmentinfrastructure/HDI,HDI,constructioncontractingrealestate,housingdevelopmentinfrastructure,263.04,0.0,,2.2,10.0,30.6,993.87,1,9.74,10.41,0.09,CONSTRUCTION & CONTRACTING - REAL ESTATE,4
1,http://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC,BLC,diversified,balmerlawriecompany,118.49,70.0,3.16,16.21,10.0,22.07,2523.45,1,11.94,13.66,1.87,DIVERSIFIED,4
26,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karnatakabank/KB04,KB04,banksprivatesector,karnatakabank,181.91,40.0,3.38,11.52,10.0,32.64,3344.39,1,10.27,10.27,0.65,BANKS - PRIVATE SECTOR,4
27,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/southindianbank/SIB,SIB,banksprivatesector,southindianbank,25.43,40.0,1.66,1.85,1.0,32.64,4369.94,1,13.05,13.05,0.95,BANKS - PRIVATE SECTOR,4
39,http://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH,CFH,financehousing,canfinhomes,80.83,100.0,0.56,22.66,2.0,23.49,4734.37,1,15.53,15.69,4.4,FINANCE - HOUSING,5
7,http://www.moneycontrol.com/india/stockpricequote/cementmajor/prismjohnson/PC,PC,cementmajor,prismjohnson,20.38,0.0,,1.4,10.0,36.29,5476.52,1,24.5,77.71,5.34,CEMENT - MAJOR,4
6,http://www.moneycontrol.com/india/stockpricequote/cementmajor/oclindia/OCL,OCL,cementmajor,oclindia,488.16,250.0,0.43,74.21,2.0,36.29,6679.52,1,11.32,15.82,2.4,CEMENT - MAJOR,4
2,http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI,CTI,diversified,centurytextilesindustries,255.47,55.0,0.6,33.27,10.0,22.07,10211.78,1,14.9,27.48,3.58,DIVERSIFIED,4
65,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/prestigeestatesprojects/PEP02,PEP02,constructioncontractingrealestate,prestigeestatesprojects,132.66,12.0,0.44,6.19,10.0,30.6,10325.63,1,35.9,44.48,2.08,CONSTRUCTION & CONTRACTING - REAL ESTATE,4
70,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02,GSP02,oildrillingandexploration,gujaratstatepetronet,91.6,15.0,0.8,11.86,10.0,15.5,10557.78,1,12.52,15.79,2.04,OIL DRILLING AND EXPLORATION,4
80,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/reliancecapital/RC,RC,financeinvestments,reliancecapital,574.93,105.0,2.5,33.0,10.0,36.62,10624.97,1,12.43,12.74,0.73,FINANCE - INVESTMENTS,4
79,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/maxfinancialservices/MI,MI,financeinvestments,maxfinancialservices,68.12,0.0,,4.58,2.0,36.62,12606.15,1,100.78,102.54,6.89,FINANCE - INVESTMENTS,4
44,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES,CES,powergenerationdistribution,cesc,1070.79,100.0,1.01,65.71,10.0,11.73,13162.91,1,10.09,15.11,0.93,POWER - GENERATION & DISTRIBUTION,5
16,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,GSK,pharmaceuticals,glaxosmithklinepharmaceuticals,281.0,300.0,1.09,41.55,10.0,29.05,23247.59,1,59.61,66.06,9.77,PHARMACEUTICALS,7
41,http://www.moneycontrol.com/india/stockpricequote/financehousing/gruhfinance/GRU,GRU,financehousing,gruhfinance,18.88,165.0,1.02,4.96,2.0,23.49,23592.6,1,64.51,65.03,17.08,FINANCE - HOUSING,5
71,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilindia/OI13,OI13,oildrillingandexploration,oilindia,255.93,95.0,4.29,23.51,10.0,11.73,25104.07,1,6.37,9.41,0.86,OIL DRILLING AND EXPLORATION,4
45,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/nhpc/N07,N07,powergenerationdistribution,nhpc,28.95,18.0,6.96,2.69,10.0,11.73,26520.34,1,6.37,9.61,0.89,POWER - GENERATION & DISTRIBUTION,5
59,http://www.moneycontrol.com/india/stockpricequote/personalcare/proctergamblehygienehealthcare/PGH,PGH,personalcare,proctergamblehygienehealthcare,162.08,3890.0,4.0,125.71,10.0,66.23,31595.01,1,67.54,77.43,60.05,PERSONAL CARE,5
15,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL,DRL,pharmaceuticals,drreddyslaboratories,698.95,400.0,0.85,34.16,5.0,29.05,39021.97,1,29.1,68.83,3.36,PHARMACEUTICALS,7
58,http://www.moneycontrol.com/india/stockpricequote/personalcare/marico/M13,M13,personalcare,marico,28.22,350.0,1.03,5.56,1.0,66.23,43657.03,1,55.63,60.83,11.98,PERSONAL CARE,5
