,LINK,company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector
0,http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,MI42,diversified,3mindia,1364.33,0.0,,275.66,10.0,22.07,22192.19,1,62.99,71.46,14.44,DIVERSIFIED
1,http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,ACC06,cementmajor,acc,498.72,260.0,1.99,50.54,10.0,36.29,24476.19,1,15.4,25.79,2.61,CEMENT - MAJOR
2,http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,AE13,trading,adanienterprises,36.04,40.0,0.3,1.79,1.0,49.47,14528.49,1,51.0,73.8,3.67,TRADING
3,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,PFR,retail,adityabirlafashionretail,12.43,0.0,,1.53,10.0,71.87,10923.73,1,27.38,92.52,11.39,RETAIL
4,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET,AET,pharmaceuticals,advancedenzymetechnologies,26.06,20.0,0.18,3.21,2.0,24.93,2517.12,1,57.66,70.23,8.65,PHARMACEUTICALS
5,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02,AGL02,transportlogistics,allcargologistics,55.81,100.0,1.78,1.17,2.0,44.24,2759.16,1,21.15,95.98,2.01,TRANSPORT & LOGISTICS
6,http://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18,AC18,cementmajor,ambujacements,102.35,140.0,1.37,6.42,2.0,36.29,40685.87,1,22.01,31.92,2.0,CEMENT - MAJOR
7,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/astramicrowaveproducts/AMP01,AMP01,telecommunicationsequipment,astramicrowaveproducts,59.44,50.0,0.99,7.01,2.0,29.78,871.75,1,9.94,14.36,1.69,TELECOMMUNICATIONS - EQUIPMENT
8,http://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02,APT02,plastics,astralpolytechnik,69.71,50.0,0.05,9.94,1.0,85.68,12175.15,1,73.49,102.25,14.58,PLASTICS
9,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16,AB16,banksprivatesector,axisbank,217.29,0.0,,1.07,2.0,32.64,135585.38,1,160.49,493.46,2.43,BANKS - PRIVATE SECTOR
10,http://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC,BLC,diversified,balmerlawriecompany,118.49,70.0,3.16,16.21,10.0,22.07,2523.45,1,11.94,13.66,1.87,DIVERSIFIED
11,http://www.moneycontrol.com/india/stockpricequote/financegeneral/bharatfinancialinclusion/SM11,SM11,financegeneral,bharatfinancialinclusion,175.61,0.0,,32.67,10.0,36.62,16619.1,1,35.46,36.49,6.79,FINANCE - GENERAL
12,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE,BHE,infrastructuregeneral,bharatheavyelectricals,87.96,79.0,2.1,2.2,2.0,23.24,27608.93,1,17.33,34.18,0.85,INFRASTRUCTURE - GENERAL
13,http://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,BPC,refineries,bharatpetroleumcorporation,137.83,310.0,7.53,36.51,10.0,8.41,89340.67,1,8.45,11.28,2.99,REFINERIES
14,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI,BI,foodprocessing,britanniaindustries,294.01,1100.0,0.36,78.95,2.0,64.74,73575.85,1,68.91,77.62,20.84,FOOD PROCESSING
15,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,CHC,pharmaceuticals,cadilahealthcare,75.3,320.0,0.8,10.66,1.0,29.05,40796.14,1,29.47,37.38,5.29,PHARMACEUTICALS
16,http://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH,CFH,financehousing,canfinhomes,80.83,100.0,0.56,22.66,2.0,23.49,4734.37,1,15.53,15.69,4.4,FINANCE - HOUSING
17,http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI,CTI,diversified,centurytextilesindustries,255.47,55.0,0.6,33.27,10.0,22.07,10211.78,1,14.9,27.48,3.58,DIVERSIFIED
18,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES,CES,powergenerationdistribution,cesc,1070.79,100.0,1.01,65.71,10.0,11.73,13162.91,1,10.09,15.11,0.93,POWER - GENERATION & DISTRIBUTION
19,http://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC,CFC,fertilisers,chambalfertiliserschemicals,72.45,19.0,1.18,11.54,10.0,14.8,6719.68,1,12.37,13.99,2.23,FERTILISERS
20,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB,CDB,financeleasinghirepurchase,cholamandalaminvestmentfinancecompany,338.17,55.0,0.34,62.31,10.0,36.62,25254.92,1,24.67,25.93,4.78,FINANCE - LEASING & HIRE PURCHASE
21,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI,CRI,miscellaneous,crisil,113.04,2800.0,1.58,33.16,1.0,51.31,12739.27,1,47.78,53.5,15.69,MISCELLANEOUS
22,http://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI,DI,personalcare,daburindia,26.78,225.0,0.59,6.07,1.0,66.23,67718.58,1,57.65,63.16,14.32,PERSONAL CARE
23,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dbcorp/C13,C13,mediaentertainment,dbcorp,86.88,40.0,1.51,17.63,10.0,15.58,4865.32,1,11.68,14.99,3.04,MEDIA & ENTERTAINMENT
24,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dlf/D04,D04,constructioncontractingrealestate,dlf,84.46,100.0,1.0,2.05,2.0,30.6,35637.1,1,71.59,97.44,2.37,CONSTRUCTION & CONTRACTING - REAL ESTATE
