,LINK,company_code,company_category,company_name,BOOK VALUE (Rs),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,sector
0,http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,MI42,diversified,3mindia,1364.33,0.00%,-%,275.66,10.00,22.07,"22,192.19",1,62.99,71.46,14.44,DIVERSIFIED
1,http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,ACC06,cementmajor,acc,498.72,260.00%,1.99%,50.54,10.00,36.29,"24,476.19",1,15.40,25.79,2.61,CEMENT - MAJOR
2,http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,AE13,trading,adanienterprises,36.04,40.00%,0.30%,1.79,1.00,49.47,"14,528.49",1,51.00,73.80,3.67,TRADING
3,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,PFR,retail,adityabirlafashionretail,12.43,0.00%,-%,1.53,10.00,71.87,"10,923.73",1,27.38,92.52,11.39,RETAIL
4,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET,AET,pharmaceuticals,advancedenzymetechnologies,26.06,20.00%,0.18%,3.21,2.00,24.93,"2,517.12",1,57.66,70.23,8.65,PHARMACEUTICALS
5,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02,AGL02,transportlogistics,allcargologistics,55.81,100.00%,1.78%,1.17,2.00,44.24,"2,759.16",1,21.15,95.98,2.01,TRANSPORT & LOGISTICS
6,http://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18,AC18,cementmajor,ambujacements,102.35,140.00%,1.37%,6.42,2.00,36.29,"40,685.87",1,22.01,31.92,2.00,CEMENT - MAJOR
7,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/astramicrowaveproducts/AMP01,AMP01,telecommunicationsequipment,astramicrowaveproducts,59.44,50.00%,0.99%,7.01,2.00,29.78,871.75,1,9.94,14.36,1.69,TELECOMMUNICATIONS - EQUIPMENT
8,http://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02,APT02,plastics,astralpolytechnik,69.71,50.00%,0.05%,9.94,1.00,85.68,"12,175.15",1,73.49,102.25,14.58,PLASTICS
9,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16,AB16,banksprivatesector,axisbank,217.29,0.00%,-%,1.07,2.00,32.64,"135,585.38",1,160.49,493.46,2.43,BANKS - PRIVATE SECTOR
10,http://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC,BLC,diversified,balmerlawriecompany,118.49,70.00%,3.16%,16.21,10.00,22.07,"2,523.45",1,11.94,13.66,1.87,DIVERSIFIED
11,http://www.moneycontrol.com/india/stockpricequote/financegeneral/bharatfinancialinclusion/SM11,SM11,financegeneral,bharatfinancialinclusion,175.61,0.00%,-%,32.67,10.00,36.62,"16,619.10",1,35.46,36.49,6.79,FINANCE - GENERAL
12,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE,BHE,infrastructuregeneral,bharatheavyelectricals,87.96,79.00%,2.10%,2.20,2.00,23.24,"27,608.93",1,17.33,34.18,0.85,INFRASTRUCTURE - GENERAL
13,http://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,BPC,refineries,bharatpetroleumcorporation,137.83,310.00%,7.53%,36.51,10.00,8.41,"89,340.67",1,8.45,11.28,2.99,REFINERIES
14,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI,BI,foodprocessing,britanniaindustries,294.01,1100.00%,0.36%,78.95,2.00,64.74,"73,575.85",1,68.91,77.62,20.84,FOOD PROCESSING
15,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,CHC,pharmaceuticals,cadilahealthcare,75.30,320.00%,0.80%,10.66,1.00,29.05,"40,796.14",1,29.47,37.38,5.29,PHARMACEUTICALS
16,http://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH,CFH,financehousing,canfinhomes,80.83,100.00%,0.56%,22.66,2.00,23.49,"4,734.37",1,15.53,15.69,4.40,FINANCE - HOUSING
17,http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI,CTI,diversified,centurytextilesindustries,255.47,55.00%,0.60%,33.27,10.00,22.07,"10,211.78",1,14.90,27.48,3.58,DIVERSIFIED
18,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES,CES,powergenerationdistribution,cesc,1070.79,100.00%,1.01%,65.71,10.00,11.73,"13,162.91",1,10.09,15.11,0.93,POWER - GENERATION & DISTRIBUTION
19,http://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC,CFC,fertilisers,chambalfertiliserschemicals,72.45,19.00%,1.18%,11.54,10.00,14.80,"6,719.68",1,12.37,13.99,2.23,FERTILISERS
20,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB,CDB,financeleasinghirepurchase,cholamandalaminvestmentfinancecompany,338.17,55.00%,0.34%,62.31,10.00,36.62,"25,254.92",1,24.67,25.93,4.78,FINANCE - LEASING & HIRE PURCHASE
21,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI,CRI,miscellaneous,crisil,113.04,2800.00%,1.58%,33.16,1.00,51.31,"12,739.27",1,47.78,53.50,15.69,MISCELLANEOUS
22,http://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI,DI,personalcare,daburindia,26.78,225.00%,0.59%,6.07,1.00,66.23,"67,718.58",1,57.65,63.16,14.32,PERSONAL CARE
23,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dbcorp/C13,C13,mediaentertainment,dbcorp,86.88,40.00%,1.51%,17.63,10.00,15.58,"4,865.32",1,11.68,14.99,3.04,MEDIA & ENTERTAINMENT
