,LINK,company_code,company_category,company_name
1,http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,MI42,diversified,3mindia
2,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/8kmilessoftwareservices/PMS01,PMS01,computerssoftware,8kmilessoftwareservices
3,http://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45,AI45,chemicals,aartiindustries
4,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04,AO04,oildrillingandexploration,abanoffshore
5,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB,ABB,infrastructuregeneral,abbindia
6,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51,AI51,pharmaceuticals,abbottindia
7,http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,ACC06,cementmajor,acc
8,http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,AE13,trading,adanienterprises
9,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS,MPS,infrastructuregeneral,adaniportsspecialeconomiczone
10,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11,AP11,powergenerationdistribution,adanipower
11,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanitransmission/AT22,AT22,powertransmissionequipment,adanitransmission
12,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,PFR,retail,adityabirlafashionretail
13,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET,AET,pharmaceuticals,advancedenzymetechnologies
14,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9,AL9,transportlogistics,aegislogistics
15,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01,AIE01,castingsforgings,aiaengineering
16,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22,AP22,pharmaceuticals,ajantapharma
17,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI,ICI,paintsvarnishes,akzonobelindia
18,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35,AP35,pharmaceuticals,alembicpharmaceuticals
19,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,AL05,pharmaceuticals,alkemlaboratories
20,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/allahabadbank/AB15,AB15,bankspublicsector,allahabadbank
21,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02,AGL02,transportlogistics,allcargologistics
22,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajabatteries/ARB,ARB,autoancillaries,amararajabatteries
23,http://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18,AC18,cementmajor,ambujacements
24,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/andhrabank/AB14,AB14,bankspublicsector,andhrabank
25,http://www.moneycontrol.com/india/stockpricequote/electricequipment/aparindustries/AI40,AI40,electricequipment,aparindustries
26,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/aplapollotubes/BT09,BT09,steeltubespipes,aplapollotubes
27,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE,AHE,hospitalsmedicalservices,apollohospitalsenterprises
28,http://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14,AT14,tyres,apollotyres
29,http://www.moneycontrol.com/india/stockpricequote/textilesdenim/arvind/A18,A18,textilesdenim,arvind
30,http://www.moneycontrol.com/india/stockpricequote/glassglassproducts/asahiindiaglass/AIG01,AIG01,glassglassproducts,asahiindiaglass
31,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/ashokleyland/AL,AL,autolcvshcvs,ashokleyland
32,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ashokabuildcon/AB,AB,constructioncontractingcivil,ashokabuildcon
33,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31,AP31,paintsvarnishes,asianpaints
34,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/astramicrowaveproducts/AMP01,AMP01,telecommunicationsequipment,astramicrowaveproducts
35,http://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02,APT02,plastics,astralpolytechnik
36,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP,AZP,pharmaceuticals,astrazenecapharma
37,http://www.moneycontrol.com/india/stockpricequote/dyespigments/atul/A06,A06,dyespigments,atul
38,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP,AP,pharmaceuticals,aurobindopharma
39,http://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21,AF21,aquaculture,avantifeeds
40,http://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19,AS19,retail,avenuesupermarts
41,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16,AB16,banksprivatesector,axisbank
42,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/bajajauto/BA10,BA10,auto23wheelers,bajajauto
43,http://www.moneycontrol.com/india/stockpricequote/personalcare/bajajcorp/BC02,BC02,personalcare,bajajcorp
44,http://www.moneycontrol.com/india/stockpricequote/domesticappliances/bajajelectricals/BE,BE,domesticappliances,bajajelectricals
45,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/bajajfinance/BAF,BAF,financeleasinghirepurchase,bajajfinance
46,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04,BF04,financeinvestments,bajajfinserv
47,http://www.moneycontrol.com/india/stockpricequote/sugar/bajajhindusthan/BH06,BH06,sugar,bajajhindusthan
48,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI,BHI,financeinvestments,bajajholdingsinvestment
49,http://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,BI03,tyres,balkrishnaindustries
50,http://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC,BLC,diversified,balmerlawriecompany
51,http://www.moneycontrol.com/india/stockpricequote/sugar/balrampurchinimills/BCM,BCM,sugar,balrampurchinimills
52,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofbaroda/BOB,BOB,bankspublicsector,bankofbaroda
53,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofindia/BOI,BOI,bankspublicsector,bankofindia
54,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankmaharashtra/BM05,BM05,bankspublicsector,bankmaharashtra
55,http://www.moneycontrol.com/india/stockpricequote/chemicals/basfindia/BAS,BAS,chemicals,basfindia
56,http://www.moneycontrol.com/india/stockpricequote/leatherproducts/bataindia/BI01,BI01,leatherproducts,bataindia
57,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/bayercropscience/BC12,BC12,pesticidesagrochemicals,bayercropscience
58,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/beml/BEM03,BEM03,infrastructuregeneral,beml
59,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02,BPI02,paintsvarnishes,bergerpaintsindia
60,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/bfutilities/BFU,BFU,powergenerationdistribution,bfutilities
61,http://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03,BE03,electricals,bharatelectronics
62,http://www.moneycontrol.com/india/stockpricequote/financegeneral/bharatfinancialinclusion/SM11,SM11,financegeneral,bharatfinancialinclusion
63,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/bharatforge/BF03,BF03,castingsforgings,bharatforge
64,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/bhartiairtel/BA08,BA08,telecommunicationsservice,bhartiairtel
65,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/bhartiinfratel/BI14,BI14,telecommunicationsequipment,bhartiinfratel
66,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE,BHE,infrastructuregeneral,bharatheavyelectricals
67,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03,BL03,pharmaceuticals,biocon
68,http://www.moneycontrol.com/india/stockpricequote/cementmajor/birlacorporation/BC07,BC07,cementmajor,birlacorporation
69,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/blissgvspharma/BGV,BGV,pharmaceuticals,blissgvspharma
70,http://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE,BDE,couriers,bluedartexpress
71,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/bluestar/BS,BS,consumergoodswhitegoods,bluestar
72,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/bombayburmahtradingcorporation/BBT,BBT,plantationsteacoffee,bombayburmahtradingcorporation
73,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/bombaydyeingmanufacturingcompany/BDM,BDM,textilesprocessing,bombaydyeingmanufacturingcompany
74,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05,B05,autoancillaries,bosch
75,http://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,BPC,refineries,bharatpetroleumcorporation
76,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI,BI,foodprocessing,britanniaindustries
77,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,CHC,pharmaceuticals,cadilahealthcare
78,http://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH,CFH,financehousing,canfinhomes
79,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/canarabank/CB06,CB06,bankspublicsector,canarabank
80,http://www.moneycontrol.com/india/stockpricequote/financegeneral/capitalfirst/FCH,FCH,financegeneral,capitalfirst
81,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/caplinpointlaboratories/CPL,CPL,pharmaceuticals,caplinpointlaboratories
82,http://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU,CU,abrasives,carborundumuniversal
83,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/creditanalysisresearch/CAR,CAR,miscellaneous,creditanalysisresearch
84,http://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01,CI01,lubricants,castrolindia
85,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/cclproductsindia/CC10,CC10,plantationsteacoffee,cclproductsindia
86,http://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07,C07,tyres,ceat
