,LINK,MARKETCAP_RS_CR,P_BY_E,BOOK_VALUE_RS,DIV_PERCENT,MARKET_LOT,INDUSTRY_P_BY_E,EPS_TTM,P_BY_C,PRICE_BY_BOOK,DIV_YIELD_PERCENT,FACE_VALUE,sector,company_code,company_name,count_comp_cat,rk
1,http://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC,2403.74,13.01,118.49,70.0,1,21.24,16.21,11.37,1.78,3.32,10.0,diversified,BLC,balmerlawriecompany,4,4.0
2,http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI,9896.24,26.63,255.47,55.0,1,21.24,33.27,14.44,3.47,0.62,10.0,diversified,CTI,centurytextilesindustries,4,3.0
14,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL,37075.1,65.39,698.95,400.0,1,28.83,34.16,27.65,3.2,0.9,5.0,pharmaceuticals,DRL,drreddyslaboratories,7,3.0
15,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,23768.51,67.54,245.56,350.0,1,28.83,41.55,60.95,11.43,1.25,10.0,pharmaceuticals,GSK,glaxosmithklinepharmaceuticals,7,4.0
25,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karnatakabank/KB04,3097.03,9.51,181.91,40.0,1,32.65,11.52,9.51,0.6,3.65,10.0,banksprivatesector,KB04,karnatakabank,4,4.0
26,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/southindianbank/SIB,4026.14,12.03,27.64,40.0,1,32.65,1.85,10.11,0.8,1.8,1.0,banksprivatesector,SIB,southindianbank,4,3.0
38,http://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH,4539.96,15.05,101.12,100.0,1,24.02,22.66,14.9,3.37,0.59,2.0,financehousing,CFH,canfinhomes,5,4.0
40,http://www.moneycontrol.com/india/stockpricequote/financehousing/gruhfinance/GRU,22301.61,61.47,18.88,165.0,1,24.02,4.96,60.98,16.15,1.08,2.0,financehousing,GRU,gruhfinance,5,3.0
43,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES,12121.02,13.92,1070.79,100.0,1,11.31,65.71,9.3,0.85,1.09,10.0,powergenerationdistribution,CES,cesc,5,4.0
44,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/nhpc/N07,24006.81,8.7,28.95,18.0,1,11.31,2.69,5.76,0.81,7.69,10.0,powergenerationdistribution,N07,nhpc,5,3.0
57,http://www.moneycontrol.com/india/stockpricequote/personalcare/marico/M13,42656.61,59.43,28.22,350.0,1,66.93,5.56,54.35,11.71,1.06,1.0,personalcare,M13,marico,5,3.0
58,http://www.moneycontrol.com/india/stockpricequote/personalcare/proctergamblehygienehealthcare/PGH,32141.32,78.77,162.08,3890.0,1,66.93,125.71,68.7,61.09,3.93,10.0,personalcare,PGH,proctergamblehygienehealthcare,5,4.0
62,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/housingdevelopmentinfrastructure/HDI,898.39,9.41,263.04,0.0,1,28.23,2.2,8.81,0.08,,10.0,constructioncontractingrealestate,HDI,housingdevelopmentinfrastructure,4,4.0
64,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/prestigeestatesprojects/PEP02,10104.38,43.53,132.66,12.0,1,28.23,6.19,35.13,2.03,0.45,10.0,constructioncontractingrealestate,PEP02,prestigeestatesprojects,4,3.0
69,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02,10109.54,15.12,91.6,15.0,1,15.43,11.86,11.99,1.96,0.84,10.0,oildrillingandexploration,GSP02,gujaratstatepetronet,4,4.0
70,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilindia/OI13,23793.26,8.92,255.93,95.0,1,11.19,23.51,6.04,0.82,4.53,10.0,oildrillingandexploration,OI13,oilindia,4,3.0
78,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/maxfinancialservices/MI,11617.03,94.5,68.12,0.0,1,34.92,4.58,92.88,6.35,,2.0,financeinvestments,MI,maxfinancialservices,4,3.0
79,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/reliancecapital/RC,9797.36,11.75,574.93,105.0,1,34.92,33.0,11.46,0.67,2.71,10.0,financeinvestments,RC,reliancecapital,4,4.0
