,LINK,MARKETCAP_RS_CR,P_BY_E,BOOK_VALUE_RS,DIV_PERCENT,MARKET_LOT,INDUSTRY_P_BY_E,EPS_TTM,P_BY_C,PRICE_BY_BOOK,DIV_YIELD_PERCENT,FACE_VALUE,sector,company_code,company_name
0,http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,22112.99,71.21,1364.33,0.0,1,21.24,275.66,62.76,14.39,,10.0,diversified,MI42,3mindia
1,http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,25131.57,26.48,498.72,260.0,1,35.64,50.54,15.81,2.68,1.94,10.0,cementmajor,ACC06,acc
2,http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,12416.86,63.07,36.04,40.0,1,43.05,1.79,43.59,3.13,0.35,1.0,trading,AE13,adanienterprises
3,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,10680.64,90.46,12.43,0.0,1,68.9,1.53,26.77,11.13,,10.0,retail,PFR,adityabirlafashionretail
4,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET,2413.85,67.35,26.06,20.0,1,24.28,3.21,55.29,8.3,0.19,2.0,pharmaceuticals,AET,advancedenzymetechnologies
5,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02,2592.09,90.17,55.81,100.0,1,40.69,1.17,19.87,1.89,1.9,2.0,transportlogistics,AGL02,allcargologistics
6,http://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18,41192.21,32.31,100.59,180.0,1,35.64,6.42,22.28,2.06,1.74,2.0,cementmajor,AC18,ambujacements
7,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/astramicrowaveproducts/AMP01,851.39,14.02,59.44,50.0,1,27.31,7.01,9.7,1.65,1.02,2.0,telecommunicationsequipment,AMP01,astramicrowaveproducts
8,http://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02,12085.31,101.5,69.71,50.0,1,84.99,9.94,72.95,14.47,0.05,1.0,plastics,APT02,astralpolytechnik
9,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16,131067.69,477.01,217.28,0.0,1,32.65,1.07,155.14,2.35,,2.0,banksprivatesector,AB16,axisbank
10,http://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC,2403.74,13.01,118.49,70.0,1,21.24,16.21,11.37,1.78,3.32,10.0,diversified,BLC,balmerlawriecompany
11,http://www.moneycontrol.com/india/stockpricequote/financegeneral/bharatfinancialinclusion/SM11,16104.38,35.36,175.59,0.0,1,34.92,32.67,34.36,6.58,,10.0,financegeneral,SM11,bharatfinancialinclusion
