company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector
MI42,diversified,3mindia,1364.33,0,,275.66,10,22.07,22247.39,1,63.14,71.64,14.48,DIVERSIFIED
BLC,diversified,balmerlawriecompany,118.49,70,3.16,16.21,10,22.07,2521.74,1,11.93,13.65,1.87,DIVERSIFIED
CTI,diversified,centurytextilesindustries,255.47,55,0.6,33.27,10,22.07,10164.31,1,14.83,27.35,3.56,DIVERSIFIED
DCM02,diversified,dcmshriram,198.77,290,1.9,42.39,2,22.07,4968.31,1,6.01,7.22,1.54,DIVERSIFIED
GI01,diversified,grasimindustries,247.47,275,0.53,26.9,2,22.07,67911.82,1,28.34,38.4,4.17,DIVERSIFIED
NBV,diversified,navabharatventures,160.54,50,0.69,9.05,2,22.07,2606.31,1,13.1,16.13,0.91,DIVERSIFIED
V,diversified,voltas,105.36,350,0.67,15.15,1,22.07,17220.9,1,33.09,34.35,4.94,DIVERSIFIED
PMS01,computerssoftware,8kmilessoftwareservices,28.49,0,,1.6,5,21.82,1632.69,1,286.1,334.38,18.78,COMPUTERS - SOFTWARE
IE07,computerssoftware,cyient,202.3,210,1.44,35.59,5,21.82,8219.09,1,18.16,20.45,3.6,COMPUTERS - SOFTWARE
HCL02,computerssoftware,hcltechnologies,186.49,600,1.27,52.87,2,21.82,131914.73,1,15.98,17.92,5.08,COMPUTERS - SOFTWARE
HT02,computerssoftware,hexawaretechnologies,51.93,200,0.9,13.92,2,21.82,13223.01,1,28.59,32,8.58,COMPUTERS - SOFTWARE
IT,computerssoftware,infosys,290.74,515,2.01,73.97,5,21.82,279666.55,1,15.92,17.31,4.4,COMPUTERS - SOFTWARE
IDA,computerssoftware,intellectdesignarena,55.77,0,,2.61,5,21.82,2683.65,1,46.28,81.74,3.83,COMPUTERS - SOFTWARE
LI12,computerssoftware,larsentoubroinfotech,173.01,1655,0.97,67.42,1,21.82,29301.18,1,23.41,25.26,9.84,COMPUTERS - SOFTWARE
MT13,computerssoftware,mindtree,206.11,100,1,39.66,10,21.82,16445.91,1,20.42,25.3,4.87,COMPUTERS - SOFTWARE
MB02,computerssoftware,mphasis,242.04,170,1.6,38.28,10,21.82,20526.69,1,26.6,27.74,4.39,COMPUTERS - SOFTWARE
NII02,computerssoftware,niittechnologies,217.85,125,1.1,36.79,10,21.82,6962.77,1,22.55,30.78,5.2,COMPUTERS - SOFTWARE
OFS01,computerssoftware,oraclefinancialservicessoftware,313.2,3400,4.16,117.74,5,21.82,34888.2,1,32.81,34.68,13.04,COMPUTERS - SOFTWARE
PS15,computerssoftware,persistentsystems,269.57,90,1.11,42.76,10,21.82,6496.4,1,16.41,18.99,3.01,COMPUTERS - SOFTWARE
PSL01,computerssoftware,polarisconsultingservices,73.78,0,,17.55,5,21.82,4822.81,1,23.58,26.67,6.34,COMPUTERS - SOFTWARE
RI15,computerssoftware,roltaindia,236.15,0,,9.29,10,21.82,675.83,1,2.66,4.4,0.17,COMPUTERS - SOFTWARE
TE,computerssoftware,tataelxsi,89.76,160,1.23,38.54,10,21.82,8119.6,1,30.59,33.83,14.53,COMPUTERS - SOFTWARE
TCS,computerssoftware,tataconsultancyservices,198.16,5000,2.72,65.93,1,21.82,705012.98,1,26.22,27.93,9.29,COMPUTERS - SOFTWARE
TM4,computerssoftware,techmahindra,172.35,180,1.27,40.8,5,21.82,69310.35,1,14.89,17.33,4.1,COMPUTERS - SOFTWARE
W,computerssoftware,wipro,95.95,200,1.5,15.87,2,21.82,129893.95,1,14.87,16.81,2.78,COMPUTERS - SOFTWARE
ZT02,computerssoftware,zensartechnologies,293.53,120,0.98,42.8,10,21.82,5512.55,1,23.1,28.62,4.17,COMPUTERS - SOFTWARE
AI45,chemicals,aartiindustries,200.01,20,0.08,38.92,5,24.63,10447.46,1,23.1,33.02,6.42,CHEMICALS
BAS,chemicals,basfindia,311.59,10,0.05,56.95,10,24.63,8730.5,1,21.83,35.42,6.47,CHEMICALS
GAC01,chemicals,gujaratalkalieschemicals,529.95,50,0.84,72.85,10,9.86,4380.88,1,6.61,8.19,1.13,CHEMICALS
GF07,chemicals,gujaratfluorochemicals,320.78,350,0.47,44.36,1,24.63,8232.71,1,12.87,16.89,2.34,CHEMICALS
GHC,chemicals,gujaratheavychemicals,166.48,50,1.83,37.41,10,9.86,2663.55,1,5.62,7.31,1.64,CHEMICALS
BOC,chemicals,lindeindia,165.06,10,0.22,2.34,10,32.84,3892.8,1,17.21,195.06,2.77,CHEMICALS
NFI,chemicals,navinfluorineinternational,151.6,315,0.93,36.27,2,25.97,3360.57,1,15.48,18.78,4.49,CHEMICALS
PI11,chemicals,pidiliteindustries,85.74,475,0.44,18.81,1,42.85,55079.65,1,52.63,57.66,12.65,CHEMICALS
KC17,chemicals,shkelkarcompany,47.56,0,,4.77,10,25.97,3354.48,1,42.17,48.63,4.88,CHEMICALS
SII04,chemicals,solarindustriesindia,87.62,250,0.42,14.84,2,73.28,10733.93,1,66.94,79.93,13.54,CHEMICALS
TC,chemicals,tatachemicals,416.96,110,1.49,69.36,10,9.86,18840.5,1,9.95,10.66,1.77,CHEMICALS
UP04,chemicals,upl,161.32,350,1,10.76,2,39.1,35582.68,1,29.32,64.93,4.33,CHEMICALS
VO01,chemicals,vinatiorganics,160.32,25,0.05,28,2,32.43,5062.02,1,30.27,35.18,6.14,CHEMICALS
AO04,oildrillingandexploration,abanoffshore,701.88,0,,1.47,2,11.73,744.74,1,4.39,86.8,0.18,OIL DRILLING AND EXPLORATION
GAI,oildrillingandexploration,gailindia,169.17,112,3.34,20.48,10,11.73,75544.88,1,12.52,16.36,1.98,OIL DRILLING AND EXPLORATION
GSP02,oildrillingandexploration,gujaratstatepetronet,91.6,15,0.8,11.86,10,15.5,10557.78,1,12.52,15.79,2.04,OIL DRILLING AND EXPLORATION
GGC,oildrillingandexploration,gujaratgas,140.64,30,0.37,21.16,10,26.07,11308.87,1,20.08,38.82,5.84,OIL DRILLING AND EXPLORATION
IG04,oildrillingandexploration,indraprasthagas,51.39,85,0.65,9.58,2,32.84,18413.52,1,21.61,27.46,5.12,OIL DRILLING AND EXPLORATION
OI13,oildrillingandexploration,oilindia,255.93,95,4.29,23.51,10,11.73,25104.07,1,6.37,9.41,0.86,OIL DRILLING AND EXPLORATION
ONG,oildrillingandexploration,oilnaturalgascorporation,160.12,121,3.66,15.54,5,11.73,212325.88,1,6.17,10.65,1.03,OIL DRILLING AND EXPLORATION
PLN,oildrillingandexploration,petronetlng,53.88,25,1.18,13.85,10,15.5,31770,1,12.76,15.29,3.93,OIL DRILLING AND EXPLORATION
ABB,infrastructuregeneral,abbindia,170.21,200,0.33,20.41,2,47.97,25892.02,1,43.86,59.87,7.18,INFRASTRUCTURE - GENERAL
MPS,infrastructuregeneral,adaniportsspecialeconomiczone,93.06,65,0.35,12.07,2,39.36,77205.08,1,26,30.89,4.01,INFRASTRUCTURE - GENERAL
BEM03,infrastructuregeneral,beml,554.91,80,0.92,31.08,10,23.24,3626.61,1,18.72,28.02,1.57,INFRASTRUCTURE - GENERAL
BHE,infrastructuregeneral,bharatheavyelectricals,87.96,79,2.1,2.2,2,23.24,27627.29,1,17.34,34.2,0.86,INFRASTRUCTURE - GENERAL
EI14,infrastructuregeneral,engineersindia,49.58,60,2.31,5.98,5,29.04,8221.17,1,20.46,21.76,2.62,INFRASTRUCTURE - GENERAL
ITN,infrastructuregeneral,ilandfstransportationnetworks,93.66,20,4.12,7.65,10,25.25,1598.75,1,5.83,6.35,0.52,INFRASTRUCTURE - GENERAL
IID01,infrastructuregeneral,irbinfrastructuredevelopers,83.92,50,2.19,12.64,10,30.6,8039.42,1,18.1,18.1,2.73,INFRASTRUCTURE - GENERAL
JA02,infrastructuregeneral,jaiprakashassociates,32.52,0,,1.45,2,30.6,3514.9,1,4.09,9.97,0.44,INFRASTRUCTURE - GENERAL
LT,infrastructuregeneral,larsentoubro,290.38,1050,1.58,38.43,2,22.07,186247.55,1,22.66,34.57,4.58,INFRASTRUCTURE - GENERAL
NBC01,infrastructuregeneral,nbccindia,9.3,81.5,0.96,1.85,1,30.6,15291,1,45.43,45.92,9.13,INFRASTRUCTURE - GENERAL
SE19,infrastructuregeneral,sadbhavengineering,109.67,75,0.24,12.86,1,30.6,5404.48,1,16.96,24.49,2.87,INFRASTRUCTURE - GENERAL
S,infrastructuregeneral,siemens,216.35,350,0.7,33.61,2,37.67,35526.56,1,25.49,29.68,4.61,INFRASTRUCTURE - GENERAL
TRE,infrastructuregeneral,texmacorailengineering,47.51,25,0.35,0.46,1,23.24,1586.23,1,55.04,156.74,1.52,INFRASTRUCTURE - GENERAL
T,infrastructuregeneral,thermax,222.23,300,0.53,19.99,2,29.78,13420.57,1,44.38,56.34,5.07,INFRASTRUCTURE - GENERAL
TW04,infrastructuregeneral,titagarhwagons,77.73,40,0.8,0.25,2,23.24,1155,1,72.46,400,1.29,INFRASTRUCTURE - GENERAL
VTW,infrastructuregeneral,vatechwabag,172.2,200,0.97,21.43,2,29.78,2262.82,1,17.93,19.32,2.4,INFRASTRUCTURE - GENERAL
AI51,pharmaceuticals,abbottindia,841.52,400,0.61,188.83,10,29.05,13882.91,1,33.26,34.6,7.76,PHARMACEUTICALS
AET,pharmaceuticals,advancedenzymetechnologies,26.06,20,0.18,3.21,2,24.93,2523.26,1,57.8,70.4,8.67,PHARMACEUTICALS
AP22,pharmaceuticals,ajantapharma,219.44,0,,48.57,2,29.05,9778.08,1,20.17,22.87,5.06,PHARMACEUTICALS
AP35,pharmaceuticals,alembicpharmaceuticals,121.44,200,0.77,22.39,2,29.05,9769.84,1,18.66,23.15,4.27,PHARMACEUTICALS
AL05,pharmaceuticals,alkemlaboratories,427.26,300,0.31,59.87,2,29.05,23315.18,1,28.31,32.57,4.56,PHARMACEUTICALS
AZP,pharmaceuticals,astrazenecapharma,82.55,0,,10.42,2,29.05,3283.75,1,80.48,126.06,15.91,PHARMACEUTICALS
AP,pharmaceuticals,aurobindopharma,174.92,250,0.41,30.94,1,29.05,35951.29,1,16.58,19.83,3.51,PHARMACEUTICALS
BL03,pharmaceuticals,biocon,60.12,20,0.16,3.98,5,29.05,37425,1,99.96,156.72,10.38,PHARMACEUTICALS
BGV,pharmaceuticals,blissgvspharma,53.16,60,0.32,5.53,1,29.05,1919.04,1,30.6,33.64,3.5,PHARMACEUTICALS
CHC,pharmaceuticals,cadilahealthcare,75.3,320,0.8,10.66,1,29.05,40780.79,1,29.46,37.37,5.29,PHARMACEUTICALS
CPL,pharmaceuticals,caplinpointlaboratories,39.43,75,0.32,13.53,2,29.05,3545.8,1,29.24,34.66,11.89,PHARMACEUTICALS
C,pharmaceuticals,cipla,177.23,100,0.33,18.24,2,29.05,49274.58,1,24.66,33.55,3.45,PHARMACEUTICALS
DL03,pharmaceuticals,divislaboratories,236.51,500,0.91,32.76,2,29.05,29229.42,1,28.88,33.61,4.66,PHARMACEUTICALS
DLP01,pharmaceuticals,drlalpathlabs,95.18,30,0.35,20.16,10,48.56,7196.55,1,36.16,42.83,9.07,PHARMACEUTICALS
DRL,pharmaceuticals,drreddyslaboratories,698.95,400,0.84,34.16,5,29.05,39299.14,1,29.3,69.31,3.39,PHARMACEUTICALS
FDC,pharmaceuticals,fdc,82.09,225,0.9,9.65,1,29.05,4351.36,1,21.4,25.85,3.04,PHARMACEUTICALS
GSK,pharmaceuticals,glaxosmithklinepharmaceuticals,281,300,1.09,41.55,10,29.05,23378.03,1,59.95,66.43,9.82,PHARMACEUTICALS
GP08,pharmaceuticals,glenmarkpharma,370.38,200,0.34,35.95,1,29.05,16533.64,1,14.6,16.3,1.58,PHARMACEUTICALS
GI25,pharmaceuticals,granulesindia,40.42,25,0.28,5.48,1,29.05,2260.42,1,10.51,16.25,2.2,PHARMACEUTICALS
IR05,pharmaceuticals,indocoremedies,75.21,80,0.81,4.47,2,29.05,1825.5,1,16.76,44.32,2.63,PHARMACEUTICALS
IL,pharmaceuticals,ipcalaboratories,214.34,50,0.15,18.45,2,29.05,8559.09,1,21,36.72,3.16,PHARMACEUTICALS
JBC01,pharmaceuticals,jbchemicalspharmaceuticals,181.36,50,0.35,15.32,2,29.05,2373.39,1,12.9,18.54,1.57,PHARMACEUTICALS
JO03,pharmaceuticals,jubilantlifesciences,144.79,300,0.39,16.54,1,29.05,12149.97,1,35.1,46.12,5.27,PHARMACEUTICALS
LL05,pharmaceuticals,lauruslabs,144.45,15,0.3,16.75,10,29.05,5290.88,1,17.7,29.79,3.45,PHARMACEUTICALS
L,pharmaceuticals,lupin,326.92,375,0.82,29.74,2,29.05,41159.46,1,23.73,30.61,2.78,PHARMACEUTICALS
MP21,pharmaceuticals,marksanspharma,10.54,5,0.16,0.3,1,29.05,1266.83,1,51.58,103.17,2.94,PHARMACEUTICALS
NP07,pharmaceuticals,natcopharma,130.08,362.5,0.87,37.84,2,29.05,15312.95,1,20.05,21.93,6.38,PHARMACEUTICALS
P,pharmaceuticals,pfizer,607.45,200,0.77,78.71,10,29.05,11839.51,1,27.77,32.88,4.26,PHARMACEUTICALS
PH05,pharmaceuticals,piramalenterprises,897.64,1050,0.84,28.71,2,29.05,45150.84,1,71.66,87.08,2.79,PHARMACEUTICALS
AP26,pharmaceuticals,sanofiindia,868.77,710,1.39,151.32,10,29.05,11745.62,1,26.06,33.7,5.87,PHARMACEUTICALS
PID01,pharmaceuticals,sequentscientific,68.26,0,,16.6,2,29.05,1562.35,1,3.83,3.86,0.94,PHARMACEUTICALS
SM19,pharmaceuticals,shilpamedicare,133.62,60,0.15,16.56,1,29.05,3252.92,1,19.39,24.09,2.99,PHARMACEUTICALS
SA10,pharmaceuticals,stridesshasun,360.99,45,1.15,98.97,10,29.05,3508.97,1,3.64,3.96,1.09,PHARMACEUTICALS
SLS01,pharmaceuticals,suvenlifesciences,69.92,100,0.42,12.45,1,29.05,3035.69,1,16.89,19.16,3.41,PHARMACEUTICALS
TP06,pharmaceuticals,torrentpharmaceuticals,263.18,280,0.95,28.48,5,29.05,25050.22,1,28.93,51.98,5.62,PHARMACEUTICALS
UL02,pharmaceuticals,unichemlaboratories,523.65,150,1.24,363.48,2,29.05,1697.58,1,0.65,0.66,0.46,PHARMACEUTICALS
W05,pharmaceuticals,wockhardt,116.43,200,1.36,6.21,5,29.05,8105.89,1,46.34,117.99,6.29,PHARMACEUTICALS
ACC06,cementmajor,acc,498.72,260,2,50.54,10,36.29,24412.34,1,15.36,25.72,2.61,CEMENT - MAJOR
AC18,cementmajor,ambujacements,102.35,140,1.37,6.42,2,36.29,40705.73,1,22.02,31.93,2,CEMENT - MAJOR
BC07,cementmajor,birlacorporation,427.15,65,0.89,14.95,10,36.29,5601.75,1,21.45,48.66,1.7,CEMENT - MAJOR
DBE,cementmajor,dalmiabharat,166.2,0,,8.87,2,90.8,22627.11,1,267.72,286.13,15.27,CEMENT - MAJOR
HCI02,cementmajor,heidelbergcementindia,48.55,0,,5.88,10,36.29,3093.27,1,13.2,23.21,2.81,CEMENT - MAJOR
IC,cementmajor,indiacements,165.25,10,0.87,3.25,10,36.29,3573.76,1,10.02,35.55,0.7,CEMENT - MAJOR
JKC03,cementmajor,jkcement,323.51,80,0.87,48.89,10,36.29,6396.94,1,12.11,18.71,2.83,CEMENT - MAJOR
